route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,20AU03-CPBlock-Weekday-11,20440196,Northbound,,0,1874996,20003,1,1
2,20AU03-CPBlock-Weekday-11,20440197,Southbound,,1,1875035,20001,1,1
17,20AU03-CPBlock-Weekday-11,20440198,Northbound,,0,1874996,170028,1,1
17,20AU03-CPBlock-Weekday-11,20440199,Southbound,,1,1874996,170027,1,1
2,20AU03-CPBlock-Weekday-11,20440200,Southbound,,1,1874997,20001,1,1
2,20AU03-CPBlock-Weekday-11,20440201,Northbound,,0,1875035,20002,1,1
17,20AU03-CPBlock-Weekday-11,20440202,Southbound,,1,1875035,170027,1,1
17,20AU03-CPBlock-Weekday-11,20440203,Southbound,,1,1874725,170027,1,1
17,20AU03-CPBlock-Weekday-11,20440204,Northbound,,0,1874720,170028,1,1
17,20AU03-CPBlock-Weekday-11,20440205,Southbound,,1,1874720,170027,1,1
2,20AU03-CPBlock-Weekday-11,20440206,Northbound,,0,1874997,20002,1,1
2,20AU03-CPBlock-Weekday-11,20440207,Northbound,,0,1874998,20002,1,1
2,20AU03-CPBlock-Weekday-11,20440208,Southbound,,1,1874996,20001,1,1
2,20AU03-CPBlock-Weekday-11,20440209,Southbound,,1,1874997,20001,1,1
2,20AU03-CPBlock-Weekday-11,20440210,Southbound,,1,1874998,20001,1,1
28,20AU03-CPBlock-Weekday-11,20440211,Northbound,,0,1874996,280077,1,1
2,20AU03-CPBlock-Weekday-11,20440212,Southbound,,1,1875055,20001,1,1
49,20AU03-CPBlock-Weekday-11,20440213,Westbound,,1,1875011,490050,1,1
110,20AU03-CPBlock-Weekday-11,20440214,Southbound,,1,1875030,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440215,Southbound,,1,1875032,1100100,1,1
110,20AU03-CPBlock-Weekday-11,20440216,Northbound,,0,1875030,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440217,Southbound,,1,1875030,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440218,Northbound,,0,1875030,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440219,Southbound,,1,1875031,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440220,Northbound,,0,1875031,1100101,1,1
110,20AU03-CPBlock-Weekday-11,20440221,Northbound,,0,1875031,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440222,Southbound,,1,1875030,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440223,Southbound,,1,1875031,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440224,Northbound,,0,1875031,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440225,Northbound,,0,1875033,1100101,1,1
110,20AU03-CPBlock-Weekday-11,20440226,Northbound,,0,1875030,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440227,Southbound,,1,1875031,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440228,Southbound,,1,1875032,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440229,Northbound,,0,1875031,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440230,Northbound,,0,1875032,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440231,Northbound,,0,1875032,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440232,Southbound,,1,1875032,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440233,Southbound,,1,1875032,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440234,Southbound,,1,1875030,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440235,Northbound,,0,1875032,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440236,Southbound,,1,1875032,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440237,Southbound,,1,1875031,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440238,Southbound,,1,1875032,1100100,1,1
110,20AU03-CPBlock-Weekday-11,20440239,Southbound,,1,1875033,1100100,1,1
110,20AU03-CPBlock-Weekday-11,20440240,Southbound,,1,1875033,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440241,Northbound,,0,1875033,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440242,Southbound,,1,1875033,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440243,Southbound,,1,1875033,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440244,Northbound,,0,1875033,1100101,1,1
110,20AU03-CPBlock-Weekday-11,20440245,Northbound,,0,1875033,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440246,Northbound,,0,1875032,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440247,Northbound,,0,1875033,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440248,Northbound,,0,1875032,1100101,1,1
110,20AU03-CPBlock-Weekday-11,20440249,Northbound,,0,1875034,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440250,Southbound,,1,1875034,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440251,Southbound,,1,1875034,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440252,Northbound,,0,1875034,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440253,Northbound,,0,1875031,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440254,Southbound,,1,1875033,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440255,Southbound,,1,1875034,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440256,Northbound,,0,1875034,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440257,Southbound,,1,1875032,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440258,Southbound,,1,1875034,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440259,Northbound,,0,1875034,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440260,Southbound,,1,1875032,1100100,1,1
110,20AU03-CPBlock-Weekday-11,20440261,Southbound,,1,1875031,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440262,Northbound,,0,1875033,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440263,Southbound,,1,1875034,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440264,Northbound,,0,1875032,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440265,Northbound,,0,1875031,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440266,Northbound,,0,1875033,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440267,Northbound,,0,1875034,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440268,Southbound,,1,1875032,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440269,Southbound,,1,1875033,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440270,Southbound,,1,1875031,1100096,1,1
110,20AU03-CPBlock-Weekday-11,20440271,Northbound,,0,1875034,1100095,1,1
110,20AU03-CPBlock-Weekday-11,20440272,Southbound,,1,1875034,1100096,1,1
